n,id,loan_amnt,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,total_rec_int,application_type,dti_joint,all_util,total_rev_hi_lim
0,65667559,26500.0,666.75,n/a,MORTGAGE,60000.0,Verified,Current,credit_card,LA,29.86,1.0,May-1985,362.13,INDIVIDUAL,,,48821.0
1,61411171,12975.0,447.57,10+ years,MORTGAGE,65000.0,Source Verified,Current,debt_consolidation,TX,21.57,1.0,Nov-2000,501.54,INDIVIDUAL,,,8000.0
2,65964602,20000.0,461.96,10+ years,MORTGAGE,95000.0,Source Verified,Current,credit_card,GA,22.68,0.0,Apr-1990,197.45,INDIVIDUAL,,,57300.0
3,7088478,10000.0,330.0,10+ years,MORTGAGE,56500.0,Source Verified,Current,debt_consolidation,CO,22.51,0.0,Jul-1996,1694.52,INDIVIDUAL,,,22700.0
4,43966073,14875.0,,7 years,RENT,68515.0,Verified,Fully Paid,credit_card,IL,11.25,0.0,Jan-1990,419.74,INDIVIDUAL,,,12500.0
5,32019107,19000.0,598.82,10+ years,RENT,88000.0,Not Verified,Current,credit_card,NY,17.15,0.0,Oct-1996,1570.58,INDIVIDUAL,,,
6,1358025,18000.0,469.12,10+ years,MORTGAGE,52000.0,Verified,Fully Paid,debt_consolidation,CA,29.31,0.0,Nov-2000,6991.91,INDIVIDUAL,,,
7,59935712,24000.0,765.1,8 years,MORTGAGE,65000.0,Source Verified,Current,debt_consolidation,CA,10.49,0.0,Nov-2004,743.47,INDIVIDUAL,,,14400.0
8,68463206,9600.0,,10+ years,RENT,33000.0,Verified,Issued,debt_consolidation,CA,36.02,0.0,Dec-2006,0.0,INDIVIDUAL,,50.1,23300.0
9,30845803,24000.0,649.15,10+ years,MORTGAGE,78000.0,Verified,Late (31-120 days),home_improvement,OK,22.69,0.0,Sep-2001,4357.17,INDIVIDUAL,,,27300.0
10,1125066,18500.0,662.07,7 years,MORTGAGE,73000.0,Verified,Charged Off,small_business,SC,21.75,1.0,Sep-1995,1963.59,INDIVIDUAL,,,
11,40490242,24000.0,570.84,10+ years,MORTGAGE,130000.0,Source Verified,Current,credit_card,TX,11.01,0.0,Mar-2003,3064.46,INDIVIDUAL,,,8100.0
12,46477077,20000.0,637.58,6 years,OWN,56000.0,Source Verified,Fully Paid,debt_consolidation,TX,22.52,1.0,Dec-1999,915.77,INDIVIDUAL,,,16500.0
13,67448275,33600.0,,6 years,MORTGAGE,79000.0,Verified,Current,debt_consolidation,GA,7.75,0.0,May-1996,0.0,INDIVIDUAL,,72.3,27800.0
14,47048226,8000.0,245.85,3 years,MORTGAGE,125000.0,Not Verified,Current,major_purchase,CA,7.64,0.0,Oct-2003,321.57,INDIVIDUAL,,,27400.0
15,7095789,22950.0,661.3,5 years,RENT,52000.0,Verified,Fully Paid,debt_consolidation,IL,19.75,0.0,Jul-2002,3992.08,INDIVIDUAL,,,18600.0
16,36250538,35000.0,785.48,< 1 year,RENT,135000.0,Verified,Current,debt_consolidation,VA,22.51,0.0,May-1998,4318.96,INDIVIDUAL,,,67900.0
17,12469344,24950.0,801.21,10+ years,MORTGAGE,65000.0,Source Verified,Current,debt_consolidation,IL,27.33,0.0,Jul-1997,3243.66,INDIVIDUAL,,,52200.0
18,63465627,23725.0,596.93,10+ years,MORTGAGE,60000.0,Not Verified,Current,debt_consolidation,MD,16.46,0.0,Aug-1990,644.77,INDIVIDUAL,,,33200.0
19,45222309,12000.0,431.25,10+ years,OWN,180000.0,Verified,Current,other,CA,30.79,0.0,Apr-1988,1430.19,INDIVIDUAL,,,137900.0
20,36331321,19000.0,391.38,10+ years,OWN,42000.0,Verified,Current,credit_card,MI,4.77,0.0,Mar-2005,1619.21,INDIVIDUAL,,,50600.0
21,46576574,6000.0,182.35,2 years,MORTGAGE,125000.0,Not Verified,Current,car,TN,8.52,0.0,Nov-1995,211.91,INDIVIDUAL,,,71100.0
22,26117238,24000.0,578.68,10+ years,MORTGAGE,66000.0,Source Verified,Current,debt_consolidation,IN,17.13,2.0,Aug-1996,4552.87,INDIVIDUAL,,,13900.0
23,42384412,16000.0,489.59,6 years,,125000.0,Not Verified,Current,credit_card,NY,6.05,0.0,Nov-1987,748.03,INDIVIDUAL,,,38900.0
24,59441536,9800.0,,10+ years,MORTGAGE,56000.0,Source Verified,Current,debt_consolidation,NM,26.81,1.0,Apr-2003,527.7,INDIVIDUAL,,,9400.0
